code,system
1486.00,readv2
C34y300,readv2
F440700,readv2
F443100,readv2
A173300,readv2
F441.00,readv2
F441.11,readv2
F441100,readv2
F441200,readv2
F441z00,readv2
A532200,readv2
A544400,readv2
A984100,readv2
F432300,readv2
F44..12,readv2
F440200,readv2
F440300,readv2
F442000,readv2
F442200,readv2
F432311,readv2
F442100,readv2
F443.11,readv2
10579.0,med
106506.0,med
14731.0,med
17313.0,med
17480.0,med
19645.0,med
20130.0,med
21163.0,med
2161.0,med
2245.0,med
2703.0,med
29764.0,med
37140.0,med
38342.0,med
38716.0,med
43159.0,med
477.0,med
478.0,med
50067.0,med
54389.0,med
5556.0,med
55940.0,med
61223.0,med
63210.0,med
64052.0,med
64804.0,med
6849.0,med
69723.0,med
72481.0,med
72546.0,med
7882.0,med
8299.0,med
91596.0,med
92888.0,med
98094.0,med
F440.00,readv2
F440.11,readv2
F440000,readv2
F440100,readv2
F440z00,readv2
F440400,readv2
F440500,readv2
F440600,readv2
F441000,readv2
F443.00,readv2
F442.00,readv2
F442z00,readv2
H20.0,icd10
H20.1,icd10
H20.2,icd10
H20.9,icd10
H30.2,icd10
H20.8,icd10
H22.0,icd10
H22.1,icd10
